MES;AÑO;FECHA_BL;NÚMERO_EMBARQUE;CÓDIGO_INCOTERMS;NÚMERO_CONTRATO;PROVEEDOR;PRODUCTO;BARRILES;COSTO_FOB;COSTO_FLETE;COSTO_SEGURO;COSTO_CIF;COSTO_CFR
2;2026;17/2/2026;2026017F03;7;CI-04-2025;Hartree Partners LP;Bunker;100092,61;5077589,63;1324225,23;8115,88;6409930,74;6401814,86
2;2026;19/2/2026;2026018A03;2;CI-09-2025;Gunvor S.A.;Asfalto PG-64-22;41340,06;1933253,19;563465,02;3165,21;2499883,41;2496718,21
2;2026;18/2/2026;2026021T14;7;CI-02-2025;Puma Energy;Av-Gas;431,83;53453,14;24122,02;98,35;77673,51;77575,16
2;2026;13/2/2026;2026024D08;4;CI-11-2025;Exxon Mobil Sales & Supply LLC;Diésel para uso automotriz de 50 ppm de azufre;223038,3;18703821,43;925608,95;24885,15;19654315,53;19629430,38
2;2026;13/2/2026;2026024D08;4;CI-11-2025;Exxon Mobil Sales & Supply LLC;Jet fuel A;92306,27;8613837,8;383071,02;11405,8;9008314,62;8996908,82
2;2026;20/2/2026;2026025L46;7;CI-01-2025;Carib LPG Trading Ltd;LPG (70-30);74890,32;2079272,23;898683,84;3775,29;2981731,36;2977956,07
3;2026;10/3/2026;2026026T15;7;CI-02-2025;Puma Energy;Av-Gas;429,89;55060,89;24013,66;100,25;79174,79;79074,55
2;2026;27/2/2026;2026027L47;7;CI-01-2025;Carib LPG Trading Ltd;LPG (70-30);74481,18;2198374,31;893774,11;3920,06;3096068,48;3092148,42
2;2026;19/2/2026;2026028D09;4;CI-11-2025;Exxon Mobil Sales & Supply LLC;Diésel para uso automotriz de 50 ppm de azufre;260020,27;22647044,22;1079084,12;30078,73;23756207,07;23726128,34
2;2026;19/2/2026;2026028D09;4;CI-11-2025;Exxon Mobil Sales & Supply LLC;Jet fuel A;43527,31;4182174,19;180638,34;5530,94;4368343,48;4362812,53
2;2026;23/2/2026;2026029G05;7;CI-11-2025;Chevron Productos Company;Gasolina RON 95;314104,46;24712249,59;1303533,51;32981,43;26048764,53;26015783,1
3;2026;5/3/2026;2026030L48;7;CI-01-2025;Carib LPG Trading Ltd;LPG (70-30);63194,78;2114670,38;758337,36;3642,25;2876649,99;2873007,74
2;2026;28/2/2026;2026031M03;7;CI-11-2025;Marathon International Products Supply LLC;Gasolina RON 91;313876,2;25030988,09;1302586,23;33384,31;26366958,63;26333574,32
3;2026;1/3/2026;2026032D10;4;CI-11-2025;Exxon Mobil Sales & Supply LLC;Diésel para uso automotriz de 50 ppm de azufre;251815,11;23017973,99;1045032,71;30380,73;24093387,43;24063006,7
3;2026;1/3/2026;2026032D10;4;CI-11-2025;Exxon Mobil Sales & Supply LLC;Jet fuel A;58717,01;5720787,36;243675,59;7530,43;5971993,38;5964462,95
3;2026;8/3/2026;2026033L49;7;CI-01-2025;Carib LPG Trading Ltd;LPG (70-30);65964,58;2262567,32;791574,98;3856;3057998,31;3054142,3
3;2026;8/3/2026;2026036D11;4;CI-11-2025;Exxon Mobil Sales & Supply LLC;Diésel para uso automotriz de 50 ppm de azufre;224575,09;31091231,86;931986,62;40430,88;32063649,37;32023218,48
3;2026;8/3/2026;2026036D11;4;CI-11-2025;Exxon Mobil Sales & Supply LLC;Jet fuel A;84749,31;13840257,26;351709,64;17991,47;14209886,38;14191966,9
2;2026;26/2/2026;2026038I01;7;CE-01-2026;Trafigura PTE Ltd;Bunker Térmico ICE 2;98563,93;6226425,28;1210365,06;9389,3;7446179,65;7436790,34
1;2026;15/1/2026;2026005A02;2;CI-09-2025;Gunvor S.A.;Asfalto PG-64-22;41421,58;1953920,5;564576,14;3192,82;2521689,45;2518496,64
1;2026;13/1/2026;2026008T12;7;CI-02-2025;Puma Energy;Av-Gas;430,33;49429,35;24038,23;93,14;73560,72;73467,58
1;2026;11/1/2026;2026009L41;7;CI-01-2025;Carib LPG Trading Ltd;LPG (70-30);50336,72;1349321,77;604040,64;2476,37;1955838,78;1953362,41
1;2026;16/1/2026;2026010G03;7;CI-11-2025;Chevron Productos Company;Gasolina RON 95;315104,31;23039552,6;759401,39;30171,05;23829125,04;23798953,99
1;2026;14/1/2026;2026011D05;4;CI-11-2025;Exxon Mobil Sales & Supply LLC;Diésel para uso automotriz de 50 ppm de azufre;232650,11;19342879,59;621175,79;25309,37;19989364,75;19964055,38
1;2026;14/1/2026;2026011D05;4;CI-11-2025;Exxon Mobil Sales & Supply LLC;Jet fuel A;64829,81;5725873,46;173095,59;7478,4;5906447,45;5898969,05
